,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_33_3,17,14,50,110,2,2,1,2,2,2,200,50,2,1
r_33_4,13,1,150,150,2,2,2,2,1,2,200,200,1,2
r_33_5,8,16,190,50,2,1,2,1,1,2,50,200,2,2
r_33_6,5,11,110,190,2,2,2,2,2,1,200,200,2,1
r_33_7,10,21,150,90,2,2,2,2,1,2,200,200,1,2
r_33_8,4,3,150,90,2,1,2,2,1,2,200,200,1,2
r_33_9,2,15,110,10,2,1,1,1,1,1,90,190,2,2
r_33_10,18,7,130,90,2,2,2,2,2,1,200,200,2,1
r_34_0,10,8,30,110,2,2,1,2,1,1,220,50,1,2
r_34_1,1,18,170,190,2,2,2,2,2,2,200,200,2,2
r_34_2,6,17,190,170,2,2,2,2,1,2,200,200,1,2
r_34_3,16,14,70,150,2,2,1,2,2,2,180,50,2,1
r_34_4,12,20,70,90,2,2,2,2,1,2,200,200,1,2
r_34_5,13,11,10,70,1,2,1,1,1,1,190,130,2,2
r_34_6,9,3,170,190,2,2,2,2,2,2,200,200,2,2
r_34_7,4,15,70,130,2,1,1,2,2,1,180,50,2,2
r_34_8,7,19,190,130,2,2,2,2,1,2,200,200,1,2
r_34_9,0,5,150,70,2,2,2,2,2,2,200,200,2,2
r_34_10,21,2,170,170,2,2,2,2,2,2,200,200,2,2
r_35_0,12,11,110,190,2,2,2,2,2,1,200,200,2,1
r_35_1,9,2,10,10,2,1,1,1,2,1,190,190,1,2
r_35_2,15,20,50,30,2,2,1,1,1,1,150,170,2,2
r_35_3,4,17,190,170,2,2,2,2,2,2,200,200,2,2
r_35_4,18,5,130,30,2,1,2,2,1,1,200,200,1,1
r_35_5,10,7,10,170,2,2,1,2,2,1,240,50,2,2
r_35_6,6,14,30,130,1,2,2,1,1,1,50,120,2,1
r_35_7,0,13,30,70,2,2,1,2,2,1,220,50,2,2
r_35_8,8,16,90,70,1,2,2,1,1,2,50,180,2,2
r_35_9,21,3,130,30,2,1,2,2,2,2,200,200,2,2
r_35_10,19,1,110,110,2,2,2,2,1,2,200,200,1,2
r_36_0,6,0,50,130,1,2,2,1,1,2,50,120,2,2
r_36_1,9,3,30,110,2,2,1,2,1,1,220,50,1,2
